Paper_ID,EOSC-TF_Codename,Codename,EOSC-TF_Name,Name,Definition,Characteristics
151,EOSC-SWTest-01,QC.Sty01,Code style,Code style,Each individual software product MUST comply with a de-facto code style standard for all the programming languages used in the codebase. Compliance with multiple standards MAY exist.,"Maintainability, Testability"
154,EOSC-SWTest-01,6.5,Code style,Sanity-check your code before release,"If you're writing C/C++ using GCC, test-compile with -Wall and clean up all warning messages before each release. Compile your code with every compiler you can find — different compilers often find different problems. Specifically, compile your software on true 64-bit machine. Underlying data types can change on 64-bit machines, and you will often find new problems there. Find a UNIX vendor's system and run the lint utility over your software. Run tools that for memory leaks and other run-time errors; Electric Fence and Valgrind are two good ones available in open source.For Python projects, the PyChecker program can be a useful check. It's not out of beta yet, but nevertheless often catches nontrivial errors. If you're writing Perl, check your code with perl -c (and maybe -T, if applicable). Use perl -w and 'use strict' religiously.","Maintainability, Testability"
151,EOSC-SWTest-01,QC.Sty02,Code style,Avoid custom code style guidelines,"Custom code style guidelines MUST be avoided, only considered in the hypothetical event of programming languages without existing community style standards. Custom styles MUST be documented by defining each convention and its expected output. Custom styles SHOULD evolve over time towards a more consistent definition.","Maintainability, Testability"
151,EOSC-SWTest-01,QC.Sty03,Code style,Allow exceptions,Exceptions of individual conventions from the main definition are allowed but SHOULD be avoided. Absence of standard conventions SHOULD be justified and tracked.,"Maintainability, Testability"
151,EOSC-SWTest-01,QC.Sty04,Code style,Automated code style compliance testing,Code style compliance testing MUST be automated and MUST be triggered for each candidate change in the source code.,"Maintainability, Testability"
151,EOSC-SWTest-02,QC.Uni01,Unit tests,Minimum acceptable code coverage,"Minimum acceptable code coverage threshold SHOULD be 70\%. Unit testing coverage SHOULD be higher for those sections of the code identified as critical by the developers, such as units part of a security module. Unit testing coverage MAY be lower for external libraries or pieces of code not maintained within the product's code base.","Maintainability, Testability"
151,EOSC-SWTest-02,QC.Uni02,Unit tests,Separation of main code and units,Units SHOULD reside in the repository code base but separated from the main code.,"Maintainability, Testability"
151,EOSC-SWTest-02,QC.Uni03,Unit tests,Unit testing coverage checks,Unit testing coverage MUST be checked on change basis.,"Maintainability, Testability"
151,EOSC-SWTest-02,QC.Uni04,Unit tests,Unit testing coverage automation,"Unit testing coverage MUST be automated. When working on automated testing, the use of testing doubles is RECOMMENDED to mimic a simplistic behavior of objects and procedures.","Maintainability, Testability"
85,EOSC-SWTest-02,-,Unit tests,Test coverage,Each method/function has a test to support it,"Maintainability, Testability"
